name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,3419198.0,revenue,GHS,2013,6.2425255,-2.2845655
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1054640.0,revenue,GHS,2006,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1246223.0,revenue,GHS,2007,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,4192355.0,revenue,GHS,2008,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,8759921.0,revenue,GHS,2009,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,12182963.0,revenue,GHS,2010,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,50396979.0,revenue,GHS,2011,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,28905152.0,revenue,GHS,2012,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,37134557.0,revenue,GHS,2013,5.273368,-1.9821333
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2006,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2007,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2008,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2009,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2010,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2011,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2012,4.49275,-2.91667
Jubilee Fields Partners,,Oil and Gas,Jubilee Field,Offshore,,,revenue,GHS,2013,4.49275,-2.91667
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2006,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2007,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,         ,revenue,GHS,2008,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2009,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2010,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2011,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2012,,
Saltpond Offshore Fields,,Oil and Gas,Saltpond Field,Offshore,,,revenue,GHS,2013,,
